,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude,zipcode
33,34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn,40.702508451198185,-73.97231913450327,11251
34,35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,40.66380652894031,-73.91258943439885,11212
35,36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn,40.69897492770378,-73.91757444782695,11237
36,37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,40.6962982868561,-73.92041795172373,11221
37,38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens,40.69336939864146,-73.73675716262328,11411
38,39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn,40.63886440850684,-73.89854833878215,11236
39,40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn,40.6785419696015,-73.99525847712623,11231
40,41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80417639059334,-73.95070948680674,10026
41,42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,40.82096857755331,-73.94296152760926,10030
42,43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,40.782430926890406,-73.96543784456627,10024
43,44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,40.52730921905213,-74.23063314720392,10309
44,45,0.0459068626235,9.13594688556e-05,Chinatown,45,Manhattan,40.71298223302274,-73.99883403697207,10278
45,46,0.134475429879,0.000926391677672,City Island,46,Bronx,40.84747322730711,-73.77944082656659,10464
46,47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx,40.845318843421836,-73.90038604462767,10457
47,48,0.0437467441431,9.42538425377e-05,Clinton East,48,Manhattan,40.7622488195133,-73.98983666003255,10019
48,49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn,40.68876588630337,-73.96170387321409,11205
49,50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan,40.7665684548724,-73.99591049612351,10019
50,51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx,40.873441830153844,-73.82951042814729,10475
51,52,0.0289076710093,4.52027509603e-05,Cobble Hill,52,Brooklyn,40.68645905188364,-73.99650571586444,11201
52,53,0.161500913385,0.000947530980821,College Point,53,Queens,40.7819924596776,-73.847189686231,11356
53,54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn,40.686850096902596,-74.00497292925259,11231
54,55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn,40.57708743286506,-73.98621060625551,11224
55,56,0.0568478126677,0.000180907844436,Corona,56,Queens,40.741565129886304,-73.85770933462227,11368
55,56,0.0568478126677,0.000180907844436,Corona,56,Queens,40.75197999156667,-73.8533470195439,11368
56,57,0.0192705048557,1.80259807917e-05,Corona,56,Queens,40.741565129886304,-73.85770933462227,11368
56,57,0.0192705048557,1.80259807917e-05,Corona,56,Queens,40.75197999156667,-73.8533470195439,11368
57,58,0.0598554094851,0.000204980931361,Country Club,58,Bronx,40.84149345076036,-73.81897982663966,10465
58,59,0.0377948070893,6.28765230648e-05,Crotona Park,59,Bronx,40.83893229471981,-73.89390943434059,10457
59,60,0.0786482878226,0.000161833284912,Crotona Park East,60,Bronx,40.83133703776652,-73.88497942629185,10459
60,61,0.117310808097,0.000510772092295,Crown Heights North,61,Brooklyn,40.67397348602373,-73.94241783382385,11213
61,62,0.0822593359838,0.000158238169004,Crown Heights South,62,Brooklyn,40.66727684239473,-73.94563602053147,11213
62,63,0.119100721883,0.000353190910142,Cypress Hills,63,Brooklyn,40.68471024638148,-73.88253992751501,11208
63,64,0.18445188474,0.00105790284614,Douglaston,64,Queens,40.76064351117115,-73.73637252009019,11362
64,65,0.0446070683658,8.1803882541e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69535030061429,-73.98530022496767,11201
65,66,0.0546334593634,0.000108378855948,DUMBO/Vinegar Hill,66,Brooklyn,40.701704295694555,-73.98725069214528,11201
66,67,0.0997470781551,0.000394282272487,Dyker Heights,67,Brooklyn,40.618415533070184,-74.01239309414021,11228
67,68,0.0493373795569,0.000111073378655,East Chelsea,68,Manhattan,40.74843161042671,-73.99991914701923,10001
